Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,References,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Molhoek B.","56043772500;","The Scope of Planetarity and What Constitutes Refraction: A Response to Adam Pryor",2022,"Theology and Science",,,,"","",,,"10.1080/14746700.2022.2084853","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131757175&doi=10.1080%2f14746700.2022.2084853&partnerID=40&md5=cb759ebb8cd27955e97cd65b93e29cbc","Graduate Theological Union, Berkeley, CA, United States","Molhoek, B., Graduate Theological Union, Berkeley, CA, United States","This essay is a response to Adam Pryor's Russell Family Fellowship Paper from the 2020 RFF Conference at the Center for Theology and the Natural Sciences of the Graduate Theological Union. It engages with Pyror's argument, critiquing his view of planetarity as too large. Planetarity is also too small to be limited to a planet, because a planet or a moon that can sustain life, at least life as currently understood, requires an energy source, in this case of Earth, the sun. This means that the planet is intra-acting with the sun in terms of defining habitability. Turning to Pryor's discussion of Imago Dei, I argue that his understanding of refracting the creative power of divine requires humans to move from nonmaleficence to beneficence in terms of human obligations to the development of life in the universe. © 2022 Graduate Theological Union (CTNS Program).","astrobiology; astrotheology; human evolution; Imago Dei; Planetarity",,,"Molhoek, B.; Graduate Theological UnionUnited States",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Article in Press","",Scopus,2-s2.0-85131757175
"Flavius R.","57736170400;","In Search of the Scientific Accounting of Spirit and God’s Spirit: Recent Critiques and New Inspirations",2022,"Theology and Science",,,,"","",,,"10.1080/14746700.2022.2084854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131731607&doi=10.1080%2f14746700.2022.2084854&partnerID=40&md5=b1c3a805c97bb752174515e43f261e50","Clinical Neuroradiologist and an Associate Professor of Radiology with joint appointments, Departments of Neurology and Neurosurgery, University of Kentucky, Lexington, KY, United States","Flavius, R., Clinical Neuroradiologist and an Associate Professor of Radiology with joint appointments, Departments of Neurology and Neurosurgery, University of Kentucky, Lexington, KY, United States","Modern theologians are interested in scientific approaches for conceptualizing God and divine action. Emergentist monism is one such attempt, but those models, Clayton and Yong as representative, have been critiqued for appealing to a science that cannot sustain their theological commitments. A different kind of emergentism is required. A comprehensive accounting of spirit maps onto scientific concepts in multilayered ways, informed by the habitual unconscious, externalized mind, dynamical systems, and anthropomorphic psychology. Most provocatively, Deacon’s emergent dynamics invites the exploration of a new metaphysics—presence/absence dual-aspect monism, I suggest—which defuses old challenges and evokes new prospects. © 2022 Graduate Theological Union (CTNS Program).","anthropomorphism; Deacon; dual-aspect monism; dynamical systems; embodied cognition; Emergence; spirit",,,"Flavius, R.; Clinical Neuroradiologist and an Associate Professor of Radiology with joint appointments, United States",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Article in Press","",Scopus,2-s2.0-85131731607
"Pryor A.","57736667900;","What If We're Not Alone: Considering the Significance of Non-Intelligent Alien Life for Constructive Christian Theology",2022,"Theology and Science",,,,"","",,,"10.1080/14746700.2022.2084850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131717500&doi=10.1080%2f14746700.2022.2084850&partnerID=40&md5=60cf207fd0a4e5b263295b764e4795c7","Academic and Student Affairs at Bethany College, United States","Pryor, A., Academic and Student Affairs at Bethany College, United States",[No abstract available],,,,"Pryor, A.; Academic and Student Affairs at Bethany CollegeUnited States",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Article in Press","",Scopus,2-s2.0-85131717500
"English A.C.","51563515900;","Making Theological Progress with David Deutsch’s Theory of Explanations",2022,"Theology and Science",,,,"","",,,"10.1080/14746700.2022.2084857","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131672683&doi=10.1080%2f14746700.2022.2084857&partnerID=40&md5=ae9adabf339bb8c64de6a3b55456b839","Department of Christian Studies and Professor of Christian Theology and Philosophy, Campbell University, United States","English, A.C., Department of Christian Studies and Professor of Christian Theology and Philosophy, Campbell University, United States","Theological progress occurs when explanations are contested, revised, and upgraded. But what are explanations? According to the physicist David Deutsch, an explanation involves the application of knowledge to a problem. The essay will present three models for the operation of explanations within the discipline of theology: the perspectivist, aesthetical, and teleological. Importantly, each of these models is correctable because of human fallibility and rational fallibilism. Avoiding the pitfalls of justificationism and unwarranted appeals to authority, the acknowledgment of fallibilism signals not only the humbling constraints on human endeavors but also the unbounded potential for improvement. © 2022 Graduate Theological Union (CTNS Program).","David Deutsch; Explanation; fallibilism; progress; theology; ultimate explanation",,,"English, A.C.; Department of Christian Studies and Professor of Christian Theology and Philosophy, United States",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Article in Press","",Scopus,2-s2.0-85131672683
"Kittle S.","56305152800;","God is (Probably) a Cause among Causes: Why the Primary/Secondary Cause Distinction Doesn’t Help in Developing Non-interventionist Accounts of Special Divine Action",2022,"Theology and Science","20","2",,"247","262",,,"10.1080/14746700.2022.2057468","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129068310&doi=10.1080%2f14746700.2022.2057468&partnerID=40&md5=e378d7db00fd5a2ef3faf33f6c5fdf5a","University of Leeds, United Kingdom","Kittle, S., University of Leeds, United Kingdom","Several recent authors have suggested that much of the discussion on divine action is flawed since it presupposes that divine and human agency compete. Such authors advocate a re-appropriation of the Scholastic distinction between primary and secondary causation which, it is suggested, solves many problems in the theology of divine action. This article critiques defences of the primary/secondary cause distinction based on appeals to analogical predication, and argues that, even assuming an adequate account of the primary/secondary cause distinction, the distinction provides no help in the development of non-interventionist accounts of special divine action. © 2022 Graduate Theological Union (CTNS Program).","Divine action; divine concurrence; primary causation; special divine action",,,"Kittle, S.; University of LeedsUnited Kingdom",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85129068310
"Russell R.","57212719308;","Theology and Science News",2022,"Theology and Science","20","2",,"137","",,,"10.1080/14746700.2022.2051246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128911378&doi=10.1080%2f14746700.2022.2051246&partnerID=40&md5=61f1368f54b55c998189c504756176e7",,"Russell, R.",[No abstract available],,,,"Russell, R.email: rrussell@gtu.edu",,"Routledge",14746700,,,,"English","Theology Sci.",Editorial,"Final","All Open Access, Bronze",Scopus,2-s2.0-85128911378
"Curry E.A.","57580908300;","Artificial Intelligence and Baptism: Cutting a Gordian Knot",2022,"Theology and Science","20","2",,"156","165",,,"10.1080/14746700.2022.2051248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128472993&doi=10.1080%2f14746700.2022.2051248&partnerID=40&md5=13792e4f00eb7fc91af04437a31221b5",,"Curry, E.A.","While perhaps far off in the future, advances in artificial intelligence make the possibility of AI converts to Christianity a plausible eventuality. Should the Church accept these converts at face-value, offering them baptism? It is unclear whether such converts would be valid candidates for baptism as their status as persons—albeit synthetic persons—would itself be uncertain. In light of this ambiguity, this paper recommends that the Church face such a situation by redeploying a form of conditional baptism once offered to doubtful cases in the past—both for the benefit of the AI and for our own moral well-being. © 2022 Graduate Theological Union (CTNS Program).","Artificial intelligence; baptism; conditional baptism; conversion; personhood; robot; sacrament",,,"Curry, E.A.",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85128472993
"Green B.P.","55341166000;","Green Responds to Ham on Christianity and Transhumanism",2022,"Theology and Science","20","2",,"209","213",,,"10.1080/14746700.2022.2051252","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127363053&doi=10.1080%2f14746700.2022.2051252&partnerID=40&md5=c54cbd9e01617d9050e8d94877bf6f1e","Santa Clara University, United States","Green, B.P., Santa Clara University, United States","In her 2016 article “Spirituality in Christian Transhumanism: Commentary on Cole-Turner, Green, and Cannon,” Sandra A. Ham misunderstood my 2015 article “Transhumanism and Catholicism: Imagined and Real Tensions.” Here I respond to her criticisms and encourage more people to pursue matters concerning ethics, theology, and technology. © 2022 Graduate Theological Union (CTNS Program).","Christian Ethics; Christian Transhumanism; ethics of technology; theology of technology; Transhumanism",,,"Green, B.P.; Santa Clara UniversityUnited States",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85127363053
"Tsai C.-C.","55474134100;","Christian Ethics in the Context of Social Evolution",2022,"Theology and Science","20","2",,"179","192",,,"10.1080/14746700.2022.2051250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127180899&doi=10.1080%2f14746700.2022.2051250&partnerID=40&md5=0e52acc7e76f79faaeb54327aa93b372","MacKay Medical College, New Taipei City, Taiwan","Tsai, C.-C., MacKay Medical College, New Taipei City, Taiwan","In this paper, we claim that Jesus’ command “Love your enemies” is compatible with the fact that (1) for a group of Cooperators and Defectors repeatedly playing the Prisoner’s Dilemma game with each other, Defection will be the dominant strategy, and (2) the Tit-For-Tat strategy, a variant of the Eye-For-Eye principle that Jesus refuted in his Sermon on the Mount, had won Robert Axelrod’s tournaments of Iterated Prisoner’s Dilemma game in the 1980s. By incorporating relevant biblical commands into an informed cooperative strategy, we find that it itself is a strong contender in a secular world of social evolution. © 2022 Graduate Theological Union (CTNS Program).","bookkeeping; the informed cooperative strategy; The Prisoner’s Dilemma; the re-encountering rate; the Tit-For-Tat strategy",,,"Tsai, C.-C.; MacKay Medical CollegeTaiwan",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85127180899
"Launonen L.","57200291341;","Hell and the Cultural Evolution of Christianity",2022,"Theology and Science","20","2",,"193","208",,,"10.1080/14746700.2022.2051251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127142982&doi=10.1080%2f14746700.2022.2051251&partnerID=40&md5=ad75d655571a0c05aabf79f206ab65d9","the University of Helsinki, Helsinki, Finland","Launonen, L., the University of Helsinki, Helsinki, Finland","The traditional view of hell as eternal conscious torment is challenged by proponents of universalism and conditional immortality. However, they need to explain why the church has been misled in adopting the traditional view. This paper draws from cognitive and evolutionary science of religion to provide an “error theory” of why eternal hell became the dominant view. Early Christianity grew rapidly despite persecution and marginalization. The fear of hell probably helped Christian communities to maintain cooperation by weeding out free riding even in times of crisis. Here the traditional view proved to be more effective than its competitors. © 2022 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Big Gods; cognitive science of religion; conditional immortality; Cultural evolution; eternal conscious torment; hell; universalism",,,"Launonen, L.; the University of HelsinkiFinland",,"Routledge",14746700,,,,"English","Theology Sci.",Article,"Final","",Scopus,2-s2.0-85127142982
