id	keyword	occurrences	total link strength
47	neuroscience	2	0
90	개혁주의	2	6
99	계시	3	8
101	고통	3	8
110	과학	19	54
119	과학과 신학	7	13
121	과학과 종교	6	7
122	과학과 종교의 대화	2	5
124	과학기술	5	14
131	과학신학	6	13
135	과학적 무신론	2	4
140	과학적 신학	2	5
147	과학주의	5	5
149	과학철학	2	0
151	과학혁명	2	2
162	교육목회	2	5
165	교회	2	6
172	구원	2	5
173	그레고리 베이트슨(gregory bateson)	2	4
180	근대과학	2	5
195	기독교	3	7
196	기독교 공동체	2	1
205	기독교교육	2	4
213	기독교윤리	2	5
219	기억	2	2
222	기포드 강연	2	5
234	뇌 과학	4	2
235	뇌과학	5	9
241	뉴잉글랜드	2	11
242	뉴톤	2	9
249	대화	2	3
252	도킨스	2	2
272	리더십	3	8
285	목적인	2	8
289	무신론	2	4
313	벤자민 워필드	2	7
330	비판적 실재론	2	8
337	사실	2	4
344	사회과학	3	0
352	사회생물학	2	2
369	생명	4	9
384	선교사	2	0
398	성경론	2	7
400	성령	2	5
404	성서교수학	2	1
427	신	2	6
430	신경과학	7	11
437	신앙	2	4
446	신학	2	7
448	신학과 과학	9	27
458	실재	2	5
466	아리스토텔레스	2	6
480	어거스틴	2	3
483	여성신학	2	3
494	영성	2	11
507	우주론	2	3
520	유발 하라리	3	5
521	유신론	2	1
523	유신론적 진화론	2	7
533	인간	3	11
539	인간과 자연의 미래	2	12
549	인공지능	6	26
551	인식론	3	3
552	인지과학	3	8
562	자연	5	20
564	자연과학	9	24
566	자연법칙	2	1
567	자연신학	7	23
568	자연의 신학	4	22
569	자연의 신학(theology of nature)	2	4
578	적응이론	2	4
591	제4차 산업혁명	2	5
593	조나단 에드워즈	3	14
601	존 폴킹혼	3	8
605	종교	8	21
609	종교개혁	2	9
612	종교다원주의	2	0
614	종교와 과학	17	40
616	종교와 과학(religion and science)	2	4
618	종교와 과학의 대화	2	2
637	지능	2	14
641	지적 설계	2	6
646	진화	4	18
649	진화론	4	12
660	창발	2	4
662	창발성	2	4
663	창세기	3	7
666	창조	9	25
668	창조과학	2	6
670	창조론	8	18
673	창조신앙	2	7
678	천문학	2	4
679	청교도	2	9
692	칭의론	2	0
695	칼빈	4	10
699	코로나19	2	2
702	코페르니쿠스	4	10
737	포스트휴먼	6	30
739	퓨리터니즘	2	11
754	학제간 연구	2	8
760	합리주의	2	3
762	해석학	2	4
768	형이상학	2	9
772	화이트헤드	2	7
